Snapshot_Date,SKU,Current_Stock,On_Order,Lead_Time_Days,Safety_Stock,Reorder_Point,Inventory_Value,Total_Pipeline_Stock,Is_Below_Reorder_Point,Is_Below_Safety_Stock,Stock_Status,Average_Forecast_Demand,Stock_Coverage_Weeks,Lead_Time_Weeks,Lead_Time_Demand,Available_Stock,Stockout_Gap,Stockout_Risk,Excess_Stock,Overstock_Risk,Overall_Risk,Recommendation,Risk_Score
2024-01-01,SKU011,5,3,3,5,10,19335.45,8,1,1,Critical (<= Safety Stock),18.21293984749243,0.27453008914913885,0.42857142857142855,7.805545648925326,8,4.805545648925326,HIGH,-213.55527816990914,LOW,HIGH,REORDER NOW,60
2024-01-01,SKU012,24,14,3,5,10,34697.76,38,0,0,Healthy (> Reorder Point),152.60360509957462,0.15727020331098915,0.42857142857142855,65.40154504267484,38,32.40154504267484,HIGH,-1807.2432611948955,LOW,HIGH,REORDER NOW,60
2024-01-01,SKU013,5,19,4,6,10,38741.0,24,1,1,Critical (<= Safety Stock),82.29389569333014,0.06075784792875283,0.5714285714285714,47.02508325333151,24,29.02508325333151,HIGH,-982.5267483199617,LOW,HIGH,REORDER NOW,60
2024-01-01,SKU014,20,12,6,6,12,62421.2,32,0,0,Healthy (> Reorder Point),126.68761064142299,0.157868633710427,0.8571428571428571,108.58938054979113,32,82.58938054979113,HIGH,-1500.2513276970758,LOW,HIGH,REORDER NOW,60
2024-01-01,SKU015,23,20,6,5,11,28908.47,43,0,0,Healthy (> Reorder Point),21.863857921842072,1.0519643917473007,0.8571428571428571,18.740449647293204,43,-19.259550352706796,LOW,-239.36629506210488,LOW,LOW,HEALTHY,0
2024-01-01,SKU016,20,18,3,7,10,40171.0,38,0,0,Healthy (> Reorder Point),81.77833745970412,0.24456354361391736,0.42857142857142855,35.047858911301766,38,4.047858911301766,HIGH,-961.3400495164494,LOW,HIGH,REORDER NOW,60
2024-01-01,SKU017,28,11,7,5,12,187691.28,39,0,0,Healthy (> Reorder Point),83.9279095755806,0.3336196521704717,1.0,83.9279095755806,39,49.9279095755806,HIGH,-979.1349149069672,LOW,HIGH,REORDER NOW,60
2024-01-01,SKU018,32,37,13,7,20,85466.88,69,0,0,Healthy (> Reorder Point),149.6531105639159,0.21382783077090137,1.8571428571428572,277.92720533298666,69,215.92720533298666,HIGH,-1763.8373267669908,LOW,HIGH,REORDER NOW,60
2024-01-01,SKU019,7,32,12,5,17,22770.72,39,1,0,Reorder Needed (<= Reorder Point),95.61862243779252,0.07320749684041991,1.7142857142857142,163.9176384647872,39,129.9176384647872,HIGH,-1140.4234692535103,LOW,HIGH,REORDER NOW,60
2024-01-01,SKU020,31,17,3,5,10,171719.54,48,0,0,Healthy (> Reorder Point),84.59106805499508,0.3664689513063721,0.42857142857142855,36.253314880712175,48,-6.746685119287825,LOW,-984.0928166599409,LOW,LOW,HEALTHY,0
2024-01-01,SKU021,26,17,4,5,10,7983.56,43,0,0,Healthy (> Reorder Point),50.40102463578332,0.5158625283490909,0.5714285714285714,28.800585506161898,43,-9.199414493838105,LOW,-578.8122956293998,LOW,LOW,HEALTHY,0
2024-01-01,SKU022,32,20,6,6,12,172882.88,52,0,0,Healthy (> Reorder Point),58.31515299485604,0.5487424512600131,0.8571428571428571,49.984416852733744,52,3.9844168527337445,HIGH,-667.7818359382725,LOW,HIGH,REORDER NOW,60
2024-01-01,SKU023,29,8,5,5,10,110391.4,37,0,0,Healthy (> Reorder Point),87.54378131244553,0.3312628214732742,0.7142857142857143,62.531272366032525,37,30.531272366032525,HIGH,-1021.5253757493465,LOW,HIGH,REORDER NOW,60
2024-01-01,SKU024,10,12,12,7,19,13334.3,22,1,0,Reorder Needed (<= Reorder Point),76.4636135364613,0.1307811590048847,1.7142857142857142,131.08048034821937,22,116.08048034821937,HIGH,-907.5633624375355,LOW,HIGH,REORDER NOW,60
2024-01-01,SKU025,34,10,12,7,19,132634.0,44,0,0,Healthy (> Reorder Point),18.585355361227894,1.8293973582517336,1.7142857142857142,31.86060919067639,44,-5.139390809323615,LOW,-189.0242643347347,LOW,LOW,HEALTHY,0
2024-01-01,SKU026,14,33,11,7,18,86502.36,47,1,0,Reorder Needed (<= Reorder Point),133.0415205457043,0.10523030661838026,1.5714285714285714,209.065246571821,47,169.065246571821,HIGH,-1582.4982465484513,LOW,HIGH,REORDER NOW,60
2024-01-01,SKU027,25,1,11,5,16,114596.5,26,0,0,Healthy (> Reorder Point),145.90675541794133,0.1713423064503694,1.5714285714285714,229.2820442281935,26,208.2820442281935,HIGH,-1725.881065015296,LOW,HIGH,REORDER NOW,60
2024-01-01,SKU028,5,3,9,7,16,2444.2,8,1,1,Critical (<= Safety Stock),31.106388794354906,0.1607386840386752,1.2857142857142858,39.99392844988488,8,38.99392844988488,HIGH,-368.2766655322589,LOW,HIGH,REORDER NOW,60
2024-01-01,SKU029,5,17,13,5,18,17080.5,22,1,1,Critical (<= Safety Stock),92.13179246289059,0.05427008274059067,1.8571428571428572,171.10190028822538,22,154.10190028822538,HIGH,-1100.581509554687,LOW,HIGH,REORDER NOW,60
2024-01-01,SKU030,30,23,10,5,15,61890.9,53,0,0,Healthy (> Reorder Point),29.57372506362793,1.0144139750895411,1.4285714285714286,42.248178662325614,53,-5.751821337674386,LOW,-324.88470076353514,LOW,LOW,HEALTHY,0
2024-01-01,SKU031,22,17,4,5,10,55557.7,39,0,0,Healthy (> Reorder Point),112.061080321504,0.19632150552967945,0.5714285714285714,64.03490304085942,39,30.03490304085942,HIGH,-1322.732963858048,LOW,HIGH,REORDER NOW,60
2024-01-01,SKU032,19,21,9,5,14,86773.0,40,0,0,Healthy (> Reorder Point),54.992586929301225,0.3455011131668802,1.2857142857142858,70.7047546233873,40,35.7047546233873,HIGH,-640.9110431516146,LOW,HIGH,REORDER NOW,60
2024-01-01,SKU033,10,17,4,5,10,33995.0,27,1,0,Reorder Needed (<= Reorder Point),102.66265597604806,0.09740640260011461,0.5714285714285714,58.66437484345603,27,36.66437484345603,HIGH,-1221.9518717125766,LOW,HIGH,REORDER NOW,60
2024-01-01,SKU034,29,2,6,5,11,44777.16,31,0,0,Healthy (> Reorder Point),118.43921646150007,0.24485133274608212,0.8571428571428571,101.51932839557148,31,75.51932839557148,HIGH,-1392.2705975380009,LOW,HIGH,REORDER NOW,60
2024-01-01,SKU035,23,18,5,5,10,134510.44,41,0,0,Healthy (> Reorder Point),125.03438379015351,0.18394940097918294,0.7142857142857143,89.31027413582395,41,53.310274135823946,HIGH,-1477.412605481842,LOW,HIGH,REORDER NOW,60
2024-01-01,SKU036,25,16,6,6,12,37496.5,41,0,0,Healthy (> Reorder Point),28.401220974970112,0.8802438466301292,0.8571428571428571,24.343903692831525,41,-10.656096307168475,LOW,-315.81465169964133,LOW,LOW,HEALTHY,0
2024-01-01,SKU037,32,1,4,5,10,180687.36,33,0,0,Healthy (> Reorder Point),148.2476501285819,0.21585502348431795,0.5714285714285714,84.71294293061823,33,56.712942930618226,HIGH,-1746.971801542983,LOW,HIGH,REORDER NOW,60
2024-01-01,SKU038,23,21,8,7,15,73666.93,44,0,0,Healthy (> Reorder Point),46.60615974096913,0.4934969997062825,1.1428571428571428,53.264182561107575,44,16.264182561107575,HIGH,-536.2739168916296,LOW,HIGH,REORDER NOW,60
2024-01-01,SKU039,17,25,14,6,20,51918.85,42,1,0,Reorder Needed (<= Reorder Point),18.63885467149666,0.9120732094122249,2.0,37.27770934299332,42,1.2777093429933188,HIGH,-206.6662560579599,LOW,HIGH,REORDER NOW,60
2024-01-01,SKU040,22,0,4,5,10,25620.1,22,0,0,Healthy (> Reorder Point),90.19968398617831,0.24390329353450013,0.5714285714285714,51.54267656353046,22,34.54267656353046,HIGH,-1060.3962078341397,LOW,HIGH,REORDER NOW,60
2024-01-01,SKU041,23,8,9,5,14,130472.79,31,0,0,Healthy (> Reorder Point),64.96817258818683,0.3540195003758208,1.2857142857142858,83.53050761338308,31,57.53050761338308,HIGH,-756.618071058242,LOW,HIGH,REORDER NOW,60
2024-01-01,SKU042,15,26,9,6,15,116416.8,41,1,0,Reorder Needed (<= Reorder Point),136.1102257325676,0.11020479849524556,1.2857142857142858,174.99886165615837,41,139.99886165615837,HIGH,-1618.3227087908112,LOW,HIGH,REORDER NOW,60
2024-01-01,SKU043,17,2,13,5,18,63453.35,19,1,0,Reorder Needed (<= Reorder Point),130.258832688137,0.13050938388724123,1.8571428571428572,241.90926070654015,19,227.90926070654015,HIGH,-1546.1059922576442,LOW,HIGH,REORDER NOW,60
2024-01-01,SKU044,27,6,13,5,18,26919.81,33,0,0,Healthy (> Reorder Point),53.04250247248853,0.5090257574857832,1.8571428571428572,98.50750459176442,33,70.50750459176442,HIGH,-609.5100296698623,LOW,HIGH,REORDER NOW,60
2024-01-01,SKU045,16,6,3,7,10,29093.12,22,0,0,Healthy (> Reorder Point),147.55999314681097,0.10843047399765882,0.42857142857142855,63.23999706291898,22,48.239997062918974,HIGH,-1754.7199177617317,LOW,HIGH,REORDER NOW,60
2024-01-01,SKU046,22,21,9,5,14,104256.9,43,0,0,Healthy (> Reorder Point),54.18980348712668,0.40598043514267984,1.2857142857142858,69.6726044834486,43,31.672604483448595,HIGH,-628.2776418455202,LOW,HIGH,REORDER NOW,60
2024-01-01,SKU047,23,11,4,7,11,140956.19,34,0,0,Healthy (> Reorder Point),88.06846728987554,0.26116044377490955,0.5714285714285714,50.32483845135745,34,23.32483845135745,HIGH,-1033.8216074785064,LOW,HIGH,REORDER NOW,60
2024-01-01,SKU048,15,10,8,5,13,53980.8,25,0,0,Healthy (> Reorder Point),52.66637908493151,0.28481168177160066,1.1428571428571428,60.190147525636014,25,40.19014752563601,HIGH,-616.9965490191781,LOW,HIGH,REORDER NOW,60
2024-01-01,SKU049,11,1,11,5,16,58149.41,12,1,0,Reorder Needed (<= Reorder Point),147.86670983735698,0.07439132183369218,1.5714285714285714,232.36197260156095,12,225.36197260156095,HIGH,-1763.4005180482836,LOW,HIGH,REORDER NOW,60
2024-01-01,SKU050,19,18,11,6,17,65977.69,37,0,0,Healthy (> Reorder Point),35.23463894720143,0.5392420801720491,1.5714285714285714,55.36871834560225,37,24.368718345602247,HIGH,-403.8156673664172,LOW,HIGH,REORDER NOW,60
2024-02-01,SKU001,918,496,3,246,346,3351902.58,1414,0,0,Healthy (> Reorder Point),84.35095557248381,10.883101368201471,0.42857142857142855,36.15040953106449,1414,-1131.8495904689355,LOW,-94.21146686980569,LOW,LOW,HEALTHY,0
2024-02-01,SKU002,277,465,4,154,234,1566324.2,742,0,0,Healthy (> Reorder Point),60.610605206310034,4.570157302622713,0.5714285714285714,34.63463154646288,742,-553.3653684535371,LOW,-450.32726247572043,LOW,LOW,HEALTHY,0
2024-02-01,SKU003,309,257,11,39,177,1899988.47,566,0,0,Healthy (> Reorder Point),34.20813909588409,9.032938013198699,1.5714285714285714,53.755647150675,566,-473.24435284932497,LOW,-101.49766915060911,LOW,LOW,HEALTHY,0
2024-02-01,SKU004,168,422,5,141,236,208803.84,590,1,0,Reorder Needed (<= Reorder Point),27.974245966626015,6.00552380215818,0.7142857142857143,19.981604261875724,590,-429.01839573812424,LOW,-167.69095159951218,LOW,LOW,REORDER SOON,0
2024-02-01,SKU005,401,292,10,161,373,2980404.43,693,0,0,Healthy (> Reorder Point),101.36967098364632,3.9558183045172575,1.4285714285714286,144.81381569092332,693,-387.1861843090767,LOW,-815.4360518037558,LOW,LOW,HEALTHY,0
2024-02-01,SKU006,464,145,9,63,212,3074649.6,609,0,0,Healthy (> Reorder Point),37.22048017150538,12.466255079514562,1.2857142857142858,47.85490307764977,609,-498.14509692235026,LOW,17.35423794193548,HIGH,HIGH,MARKDOWN / CLEAR,40
2024-02-01,SKU007,282,685,13,143,390,1282544.46,967,1,0,Reorder Needed (<= Reorder Point),148.4626504518179,1.899467638101479,1.8571428571428572,275.7163508390904,967,-548.2836491609096,LOW,-1499.5518054218146,LOW,LOW,REORDER SOON,0
2024-02-01,SKU008,186,157,10,128,376,1239530.04,343,1,0,Reorder Needed (<= Reorder Point),97.15146048182743,1.914536323772426,1.4285714285714286,138.7878006883249,343,-76.21219931167514,LOW,-979.8175257819291,LOW,LOW,REORDER SOON,0
2024-02-01,SKU009,94,252,14,72,218,281772.52,346,1,0,Reorder Needed (<= Reorder Point),61.66929685639556,1.5242593120348105,2.0,123.33859371279112,346,-150.66140628720888,LOW,-646.0315622767467,LOW,LOW,REORDER SOON,0
2024-02-01,SKU010,100,131,13,24,69,717169.0,231,0,0,Healthy (> Reorder Point),99.10270304793268,1.009054212695221,1.8571428571428572,184.04787708901785,231,-22.952122910982155,LOW,-1089.2324365751922,LOW,LOW,HEALTHY,0
2024-02-01,SKU011,596,324,13,139,466,2304785.64,920,0,0,Healthy (> Reorder Point),18.21293984749243,32.72398662657735,1.8571428571428572,33.824031145343085,920,-747.175968854657,LOW,377.4447218300909,HIGH,HIGH,MARKDOWN / CLEAR,40
2024-02-01,SKU012,67,83,13,13,56,96864.58,150,0,0,Healthy (> Reorder Point),152.60360509957462,0.43904598424317803,1.8571428571428572,283.40669518492433,150,146.40669518492433,HIGH,-1764.2432611948955,LOW,HIGH,REORDER NOW,60
2024-02-01,SKU013,269,157,10,25,104,2084265.8,426,0,0,Healthy (> Reorder Point),82.29389569333014,3.268772218566902,1.4285714285714286,117.56270813332878,426,-283.4372918666712,LOW,-718.5267483199617,LOW,LOW,HEALTHY,0
2024-02-01,SKU014,383,1,8,98,241,1195365.98,384,0,0,Healthy (> Reorder Point),126.68761064142299,3.023184335554677,1.1428571428571428,144.78584073305484,384,-141.21415926694516,LOW,-1137.2513276970758,LOW,LOW,HEALTHY,0
2024-02-01,SKU015,607,325,10,120,297,762932.23,932,0,0,Healthy (> Reorder Point),21.863857921842072,27.762712425678764,1.4285714285714286,31.234082745488674,932,-780.7659172545114,LOW,344.6337049378951,HIGH,HIGH,MARKDOWN / CLEAR,40
2024-02-01,SKU016,299,121,11,66,173,600556.45,420,0,0,Healthy (> Reorder Point),81.77833745970412,3.6562249770280646,1.5714285714285714,128.50881600810646,420,-225.49118399189354,LOW,-682.3400495164494,LOW,LOW,HEALTHY,0
2024-02-01,SKU017,218,315,7,85,175,1461310.68,533,0,0,Healthy (> Reorder Point),83.9279095755806,2.5974672918986723,1.0,83.9279095755806,533,-364.0720904244194,LOW,-789.1349149069672,LOW,LOW,HEALTHY,0
2024-02-01,SKU018,645,236,5,130,222,1722691.8,881,0,0,Healthy (> Reorder Point),149.6531105639159,4.30996721397598,0.7142857142857143,106.89507897422564,881,-644.1049210257744,LOW,-1150.8373267669908,LOW,LOW,HEALTHY,0
2024-02-01,SKU019,163,199,11,25,111,530232.48,362,0,0,Healthy (> Reorder Point),95.61862243779252,1.7046888549983492,1.5714285714285714,150.25783525938826,362,-186.74216474061174,LOW,-984.4234692535103,LOW,LOW,HEALTHY,0
2024-02-01,SKU020,643,650,7,204,468,3561795.62,1293,0,0,Healthy (> Reorder Point),84.59106805499508,7.601275344838622,1.0,84.59106805499508,1293,-1004.408931945005,LOW,-372.0928166599409,LOW,LOW,HEALTHY,0
2024-02-01,SKU021,194,11,13,46,137,59569.64,205,0,0,Healthy (> Reorder Point),50.40102463578332,3.8491280961432164,1.8571428571428572,93.60190289502617,205,-65.39809710497383,LOW,-410.81229562939984,LOW,LOW,HEALTHY,0
2024-02-01,SKU022,394,205,14,45,218,2128620.46,599,0,0,Healthy (> Reorder Point),58.31515299485604,6.756391431138912,2.0,116.63030598971208,599,-437.3696940102879,LOW,-305.7818359382725,LOW,LOW,HEALTHY,0
2024-02-01,SKU023,46,153,14,61,183,175103.6,199,1,1,Critical (<= Safety Stock),87.54378131244553,0.52545137199209,2.0,175.08756262489106,199,37.08756262489106,HIGH,-1004.5253757493465,LOW,HIGH,REORDER NOW,60
2024-02-01,SKU024,165,251,7,67,172,220015.95,416,1,0,Reorder Needed (<= Reorder Point),76.4636135364613,2.1578891235805977,1.0,76.4636135364613,416,-272.5363864635387,LOW,-752.5633624375355,LOW,LOW,REORDER SOON,0
2024-02-01,SKU025,532,517,8,211,489,2075332.0,1049,0,0,Healthy (> Reorder Point),18.585355361227894,28.62468807617418,1.1428571428571428,21.24040612711759,1049,-816.7595938728824,LOW,308.9757356652653,HIGH,HIGH,MARKDOWN / CLEAR,40
2024-02-01,SKU026,146,65,11,31,101,902096.04,211,0,0,Healthy (> Reorder Point),133.0415205457043,1.0974017690202513,1.5714285714285714,209.065246571821,211,29.065246571821007,HIGH,-1450.4982465484513,LOW,HIGH,REORDER NOW,60
2024-02-01,SKU027,568,306,7,69,198,2603632.48,874,0,0,Healthy (> Reorder Point),145.90675541794133,3.892897202552393,1.0,145.90675541794133,874,-659.0932445820587,LOW,-1182.881065015296,LOW,LOW,HEALTHY,0
2024-02-01,SKU028,711,290,8,104,272,347565.24,1001,0,0,Healthy (> Reorder Point),31.106388794354906,22.857040870299613,1.1428571428571428,35.55015862211989,1001,-861.4498413778801,LOW,337.7233344677411,HIGH,HIGH,MARKDOWN / CLEAR,40
2024-02-01,SKU029,429,569,5,190,333,1465506.9,998,0,0,Healthy (> Reorder Point),92.13179246289059,4.656373099142679,0.7142857142857143,65.808423187779,998,-742.191576812221,LOW,-676.581509554687,LOW,LOW,HEALTHY,0
2024-02-01,SKU030,68,61,9,52,115,140286.04,129,1,0,Reorder Needed (<= Reorder Point),29.57372506362793,2.2993383435362933,1.2857142857142858,38.02336079609305,129,-38.976639203906956,LOW,-286.88470076353514,LOW,LOW,REORDER SOON,0
2024-02-01,SKU031,68,81,12,33,100,171723.8,149,1,0,Reorder Needed (<= Reorder Point),112.061080321504,0.6068119261826456,1.7142857142857142,192.10470912257827,149,76.10470912257827,HIGH,-1276.732963858048,LOW,HIGH,REORDER NOW,60
2024-02-01,SKU032,272,122,5,64,122,1242224.0,394,0,0,Healthy (> Reorder Point),54.992586929301225,4.946121199020601,0.7142857142857143,39.28041923521516,394,-290.71958076478484,LOW,-387.91104315161465,LOW,LOW,HEALTHY,0
2024-02-01,SKU033,266,80,9,43,150,904267.0,346,0,0,Healthy (> Reorder Point),102.66265597604806,2.5910103091630488,1.2857142857142858,131.9948433977761,346,-171.0051566022239,LOW,-965.9518717125766,LOW,LOW,HEALTHY,0
2024-02-01,SKU034,37,67,11,23,81,57129.48,104,1,0,Reorder Needed (<= Reorder Point),118.43921646150007,0.3123965279863806,1.5714285714285714,186.11876872521438,104,105.11876872521438,HIGH,-1384.2705975380009,LOW,HIGH,REORDER NOW,60
2024-02-01,SKU035,552,394,13,169,460,3228250.56,946,0,0,Healthy (> Reorder Point),125.03438379015351,4.41478562350039,1.8571428571428572,232.20671275314226,946,-544.7932872468577,LOW,-948.4126054818421,LOW,LOW,HEALTHY,0
2024-02-01,SKU036,223,124,14,130,414,334468.78,347,1,0,Reorder Needed (<= Reorder Point),28.401220974970112,7.851775111940753,2.0,56.802441949940224,347,-160.19755805005977,LOW,-117.81465169964133,LOW,LOW,REORDER SOON,0
2024-02-01,SKU037,870,906,7,352,674,4912437.6,1776,0,0,Healthy (> Reorder Point),148.2476501285819,5.8685584509798945,1.0,148.2476501285819,1776,-1275.7523498714181,LOW,-908.971801542983,LOW,LOW,HEALTHY,0
2024-02-01,SKU038,301,57,7,75,153,964075.91,358,0,0,Healthy (> Reorder Point),46.60615974096913,6.458373778764828,1.0,46.60615974096913,358,-236.39384025903087,LOW,-258.2739168916296,LOW,LOW,HEALTHY,0
2024-02-01,SKU039,24,111,5,33,56,73297.2,135,1,1,Critical (<= Safety Stock),18.63885467149666,1.2876327662290235,0.7142857142857143,13.313467622497614,135,-88.68653237750239,LOW,-199.6662560579599,LOW,LOW,REORDER SOON,0
2024-02-01,SKU040,67,68,3,36,55,78024.85,135,0,0,Healthy (> Reorder Point),90.19968398617831,0.7427963939459776,0.42857142857142855,38.657007422647844,135,-60.34299257735216,LOW,-1015.3962078341397,LOW,LOW,HEALTHY,0
2024-02-01,SKU041,301,16,6,71,170,1707491.73,317,0,0,Healthy (> Reorder Point),64.96817258818683,4.633037809266177,0.8571428571428571,55.68700507558871,317,-190.3129949244113,LOW,-478.618071058242,LOW,LOW,HEALTHY,0
2024-02-01,SKU042,70,86,4,37,67,543278.4,156,0,0,Healthy (> Reorder Point),136.1102257325676,0.5142890596444792,0.5714285714285714,77.7772718471815,156,-41.222728152818505,LOW,-1563.3227087908112,LOW,LOW,HEALTHY,0
2024-02-01,SKU043,114,410,5,97,208,425510.7,524,1,0,Reorder Needed (<= Reorder Point),130.258832688137,0.8751805743026766,0.7142857142857143,93.04202334866929,524,-333.9579766513307,LOW,-1449.1059922576442,LOW,LOW,REORDER SOON,0
2024-02-01,SKU044,257,185,14,27,136,256236.71,442,0,0,Healthy (> Reorder Point),53.04250247248853,4.845171099031344,2.0,106.08500494497706,442,-308.9149950550229,LOW,-379.5100296698623,LOW,LOW,HEALTHY,0
2024-02-01,SKU045,491,158,7,50,157,892795.12,649,0,0,Healthy (> Reorder Point),147.55999314681097,3.327460170803155,1.0,147.55999314681097,649,-451.44000685318906,LOW,-1279.7199177617317,LOW,LOW,HEALTHY,0
2024-02-01,SKU046,89,167,12,82,234,421766.55,256,1,0,Reorder Needed (<= Reorder Point),54.18980348712668,1.6423753967135686,1.7142857142857142,92.89680597793145,256,-81.10319402206855,LOW,-561.2776418455202,LOW,LOW,REORDER SOON,0
2024-02-01,SKU047,59,135,9,32,94,361583.27,194,1,0,Reorder Needed (<= Reorder Point),88.06846728987554,0.6699333122921592,1.2857142857142858,113.23088651555427,194,-48.76911348444571,LOW,-997.8216074785064,LOW,LOW,REORDER SOON,0
2024-02-01,SKU048,134,20,6,24,47,482228.48,154,0,0,Healthy (> Reorder Point),52.66637908493151,2.544317690492966,0.8571428571428571,45.14261064422701,154,-84.857389355773,LOW,-497.99654901917813,LOW,LOW,HEALTHY,0
2024-02-01,SKU049,730,566,5,167,327,3859006.3,1296,0,0,Healthy (> Reorder Point),147.86670983735698,4.93687863078139,0.7142857142857143,105.61907845525499,1296,-1023.380921544745,LOW,-1044.4005180482836,LOW,LOW,HEALTHY,0
2024-02-01,SKU050,312,154,5,114,205,1083423.12,466,0,0,Healthy (> Reorder Point),35.23463894720143,8.854922579667333,0.7142857142857143,25.167599248001025,466,-326.832400751999,LOW,-110.81566736641719,LOW,LOW,HEALTHY,0
2024-03-01,SKU001,502,312,8,270,553,1832957.62,814,1,0,Reorder Needed (<= Reorder Point),84.35095557248381,5.9513255847899105,1.1428571428571428,96.40109208283863,814,-447.59890791716134,LOW,-510.2114668698057,LOW,LOW,REORDER SOON,0
2024-03-01,SKU002,636,367,9,155,350,3596325.6,1003,0,0,Healthy (> Reorder Point),60.610605206310034,10.493213156924352,1.2857142857142858,77.92792097954148,1003,-770.0720790204585,LOW,-91.32726247572043,LOW,LOW,HEALTHY,0
2024-03-01,SKU003,211,442,11,111,263,1297403.13,653,1,0,Reorder Needed (<= Reorder Point),34.20813909588409,6.168122720986814,1.5714285714285714,53.755647150675,653,-488.24435284932497,LOW,-199.4976691506091,LOW,LOW,REORDER SOON,0
2024-03-01,SKU004,156,137,13,124,391,193889.28,293,1,0,Reorder Needed (<= Reorder Point),27.974245966626015,5.576557816289739,1.8571428571428572,51.95217108087689,293,-117.0478289191231,LOW,-179.69095159951218,LOW,LOW,REORDER SOON,0
2024-03-01,SKU005,638,295,9,130,335,4741890.34,933,0,0,Healthy (> Reorder Point),101.36967098364632,6.293795706438928,1.2857142857142858,130.332434121831,933,-672.667565878169,LOW,-578.4360518037558,LOW,LOW,HEALTHY,0
2024-03-01,SKU006,477,136,12,62,266,3160792.8,613,0,0,Healthy (> Reorder Point),37.22048017150538,12.815525157173376,1.7142857142857142,63.806537436866364,613,-487.1934625631336,LOW,30.35423794193548,HIGH,HIGH,MARKDOWN / CLEAR,40
2024-03-01,SKU007,565,231,11,97,310,2569636.95,796,0,0,Healthy (> Reorder Point),148.4626504518179,3.8056709770472894,1.5714285714285714,233.29845070999954,796,-465.70154929000046,LOW,-1216.5518054218146,LOW,LOW,HEALTHY,0
2024-03-01,SKU008,537,304,14,177,549,3578643.18,841,1,0,Reorder Needed (<= Reorder Point),97.15146048182743,5.527451644439746,2.0,194.30292096365486,841,-469.69707903634514,LOW,-628.8175257819291,LOW,LOW,REORDER SOON,0
2024-03-01,SKU009,317,104,5,49,105,950232.86,421,0,0,Healthy (> Reorder Point),61.66929685639556,5.140321296968457,0.7142857142857143,44.04949775456826,421,-327.9505022454317,LOW,-423.03156227674674,LOW,LOW,HEALTHY,0
2024-03-01,SKU010,89,106,5,33,54,638280.41,195,0,0,Healthy (> Reorder Point),99.10270304793268,0.8980582492987468,0.7142857142857143,70.78764503423763,195,-91.21235496576237,LOW,-1100.2324365751922,LOW,LOW,HEALTHY,0
